time_s,measured_position_m,kalman_position_m,kalman_velocity_m_per_s,kalman_acceleration_m_per_s2,moving_average_m
2.000000,1.369747,1.353075,-0.294353,-0.477909,1.371568
2.020000,1.499858,1.360569,-0.275322,-0.450689,1.372898
2.040000,1.363179,1.355691,-0.282819,-0.449250,1.367583
2.060000,1.446281,1.358326,-0.274227,-0.432602,1.372425
2.080000,1.308031,1.348890,-0.290942,-0.440221,1.362455
2.100000,1.361565,1.344579,-0.296435,-0.437098,1.369313
2.120000,1.297118,1.335027,-0.312479,-0.443973,1.368848
2.140000,1.340957,1.329729,-0.319220,-0.441963,1.371762
2.160000,1.430105,1.332261,-0.309633,-0.424662,1.380726
2.180000,1.219334,1.317047,-0.336334,-0.441739,1.360696
2.200000,1.386754,1.316608,-0.332230,-0.429615,1.365721
2.220000,1.365339,1.314473,-0.331532,-0.420914,1.365320
2.240000,1.292948,1.306538,-0.342409,-0.423216,1.346510
2.260000,1.218795,1.292978,-0.364176,-0.435664,1.333384
2.280000,1.334090,1.289563,-0.364973,-0.428257,1.323185
2.300000,1.279641,1.281972,-0.373949,-0.428642,1.320604
2.320000,1.334134,1.279236,-0.372917,-0.419654,1.318110
2.340000,1.310628,1.274827,-0.375093,-0.413835,1.319339
2.360000,1.430222,1.280303,-0.357520,-0.389628,1.327454
2.380000,1.275972,1.273306,-0.364856,-0.389200,1.313442
2.400000,1.206120,1.261176,-0.382010,-0.397984,1.312240
2.420000,1.295062,1.256752,-0.383489,-0.391904,1.303905
2.440000,1.290880,1.252308,-0.384840,-0.385813,1.297136
2.460000,1.374415,1.254749,-0.372537,-0.366999,1.304542
2.480000,1.324729,1.253300,-0.367988,-0.355816,1.314172
2.500000,1.278550,1.248423,-0.370114,-0.351116,1.309123
2.520000,1.358984,1.250146,-0.359186,-0.334197,1.316336
2.540000,1.138579,1.234791,-0.381672,-0.349108,1.298558
2.560000,1.174100,1.222983,-0.396651,-0.356662,1.286147
2.580000,1.142594,1.209384,-0.414672,-0.366959,1.259999
2.600000,1.176815,1.199151,-0.425640,-0.370395,1.250984
2.620000,1.088985,1.182751,-0.448233,-0.384790,1.240336
2.640000,1.240892,1.178866,-0.445912,-0.375284,1.235411
2.660000,1.163102,1.169354,-0.454425,-0.376240,1.223795
2.680000,1.053855,1.152060,-0.477729,-0.391250,1.194653
2.700000,1.080754,1.137720,-0.494687,-0.399947,1.172474
2.720000,1.177401,1.131530,-0.495347,-0.392950,1.163278
2.740000,1.209530,1.128238,-0.490223,-0.380559,1.149692
2.760000,1.292218,1.131566,-0.472221,-0.356088,1.163659
